d a t e :   7 8 0 
 s u b j e c t :   5 1 2 2 
 c o n s u m e r :   2 3 4 0 
 p r o d u c t :   2 9 5 0 
 s a f e t y :   1 0 4 6 
 c o m m i s s i o n :   4 8 2 8 
 g e n e r a l :   9 2 4 
 o r g a n i z a t i o n :   1 3 9 
 a n d :   1 8 0 7 8 
 f u n c t i o n s :   8 5 
 t h e :   6 1 5 0 4 
 c f r :   1 5 3 1 6 
 a :   2 3 9 4 3 
 i s :   8 0 4 6 
 a n :   4 4 4 4 
 i n d e p e n d e n t :   5 4 
 r e g u l a t o r y :   7 6 
 a g e n c y :   6 0 0 
 f o r m e d :   3 8 
 o n :   3 9 7 6 
 m a y :   3 6 9 0 
 u n d e r :   2 4 1 6 
 p r o v i s i o n s :   5 8 5 
 o f :   3 5 0 5 8 
 a c t :   2 2 7 8 
 p u b :   5 1 
 l :   1 3 9 
 s t a t :   5 9 
 a s :   6 0 0 1 
 a m e n d e d :   5 5 2 
 u :   1 2 2 3 
 s :   4 2 6 7 
 c :   4 5 4 6 
 e t :   8 4 
 s e q :   8 5 
 p u r p o s e s :   5 7 6 
 c p s a :   3 4 0 
 a r e :   3 4 5 3 
 t o :   2 0 3 8 6 
 p r o t e c t :   1 2 0 
 p u b l i c :   9 6 7 
 a g a i n s t :   2 0 3 
 u n r e a s o n a b l e :   1 2 5 
 r i s k s :   7 6 
 i n j u r y :   4 8 6 
 a s s o c i a t e d :   2 2 2 
 w i t h :   5 7 2 9 
 p r o d u c t s :   1 3 1 0 
 a s s i s t :   4 2 
 c o n s u m e r s :   5 8 7 
 i n :   1 6 0 1 4 
 e v a l u a t i n g :   5 4 
 c o m p a r a t i v e :   2 1 
 d e v e l o p :   3 0 
 u n i f o r m :   4 5 
 s t a n d a r d s :   4 0 3 
 f o r :   9 2 2 5 
 m i n i m i z e :   2 7 
 c o n f l i c t i n g :   6 
 s t a t e :   5 9 7 
 l o c a l :   1 8 5 
 r e g u l a t i o n s :   4 9 1 
 p r o m o t e :   3 8 
 r e s e a r c h :   2 0 0 
 i n v e s t i g a t i o n :   2 1 4 
 i n t o :   5 9 4 
 c a u s e s :   4 3 
 p r e v e n t i o n :   5 9 
 r e l a t e d :   3 2 5 
 d e a t h s :   3 6 
 i l l n e s s e s :   7 
 i n j u r i e s :   1 5 1 
 b :   6 0 7 4 
 a u t h o r i z e d :   2 2 5 
 c o n s i s t :   7 2 
 f i v e :   2 0 1 
 m e m b e r s :   1 7 2 
 a p p o i n t e d :   1 5 
 b y :   7 0 4 8 
 p r e s i d e n t :   2 1 
 a d v i c e :   4 6 
 c o n s e n t :   2 2 3 
 s e n a t e :   1 6 
 t e r m s :   4 7 1 
 s e v e n :   3 4 
 y e a r s :   2 8 8 
 h o w e v e r :   3 8 7 
 d e p a r t m e n t s :   1 6 
 v e t e r a n s :   5 
 a f f a i r s :   2 5 
 h o u s i n g :   1 8 
 u r b a n :   3 
 d e v e l o p m e n t :   1 0 6 
 a g e n c i e s :   1 1 3 
 a p p r o p r i a t i o n s :   1 6 
 l a w :   6 5 0 
 l i m i t e d :   3 0 5 
 f u n d i n g :   1 0 
 t h a t :   7 8 3 1 
 t h r e e :   3 6 7 
 c o m m i s s i o n e r s :   7 5 
 f i s c a l :   4 0 
 y e a r :   2 3 0 
 t h e r e a f t e r :   7 5 
 f l u s h :   1 8 4 1 
 t e x t :   1 9 3 1 
 n o t e s :   1 8 4 5 
 f o o t n o t e s :   1 8 4 4 
 c i t a t i o n s :   1 8 4 5 
 a l t :   1 8 3 4 
 e x a m p l e s :   2 0 7 4 
 l a w s :   8 9 
 a d m i n i s t e r e d :   4 3 
 a d m i n i s t e r s :   3 2 
 a c t s :   1 5 1 
 f l a m m a b l e :   3 2 6 
 f a b r i c s :   4 2 9 
 f e d e r a l :   9 9 7 
 h a z a r d o u s :   3 3 9 
 s u b s t a n c e s :   3 0 3 
 d :   2 1 6 4 
 p o i s o n :   6 9 
 p a c k a g i n g :   2 6 2 
 e :   1 4 6 2 
 r e f r i g e r a t o r :   2 6 
 h o t l i n e :   5 
 o p e r a t e s :   2 6 
 t o l l :   3 9 
 f r e e :   3 0 2 
 t e l e p h o n e :   3 0 3 
 w h i c h :   3 4 9 1 
 c a n :   5 8 8 
 c o m m u n i c a t e :   1 9 
 n u m b e r :   6 0 1 
 u s e :   1 6 6 0 
 a l l :   1 8 5 7 
 s t a t e s :   4 6 3 
 c p s c :   4 9 9 
 a l s o :   6 5 8 
 h e a r i n g :   4 7 5 
 o r :   2 0 2 0 6 
 s p e e c h :   5 
 i m p a i r e d :   5 
 p e r s o n s :   4 1 1 
 t e l e t y p e w r i t e r :   2 
 m a k e s :   1 0 1 
 a v a i l a b l e :   6 0 0 
 r e c a l l :   1 0 6 
 i n f o r m a t i o n :   2 7 4 2 
 i t s :   1 4 1 7 
 c a l e n d a r :   1 3 8 
 o t h e r :   3 0 7 4 
 t h r o u g h :   6 2 5 
 w o r l d w i d e :   2 
 w e b :   1 4 0 
 s i t e :   1 5 8 
 a t :   3 1 6 5 
 h t t p :   9 2 
 w w w :   1 0 7 
 g o v :   9 5 
 r e p o r t :   5 3 2 
 h a z a r d s :   9 4 
 m a i l :   1 8 5 
 a d d r e s s :   2 9 9 
 i n f o :   4 
 p r i n c i p a l :   2 1 6 
 o f f i c e s :   4 7 
 e a s t :   6 7 
 w e s t :   8 3 
 h i g h w a y :   8 7 
 b e t h e s d a :   5 8 
 m a r y l a n d :   2 5 
 w r i t t e n :   6 0 6 
 c o m m u n i c a t i o n s :   1 0 7 
 i n c l u d i n g :   8 8 8 
 t h o s e :   5 2 6 
 s e n t :   7 5 
 p o s t a l :   1 6 
 s e r v i c e :   6 9 0 
 p r i v a t e :   2 7 4 
 e x p r e s s :   4 9 
 m e s s e n g e r :   1 
 s h o u l d :   8 1 5 
 b e :   9 7 1 5 
 a d d r e s s e d :   8 3 
 u n l e s s :   5 7 8 
 o t h e r w i s e :   5 4 5 
 s p e c i f i c a l l y :   1 1 1 
 d i r e c t e d :   1 2 1 
 p e t i t i o n s :   7 8 
 a n y :   5 1 0 4 
 i n t e r e s t e d :   1 0 0 
 p e r s o n :   1 6 4 5 
 p e t i t i o n :   2 6 2 
 i s s u e :   2 6 7 
 a m e n d :   2 2 
 r e v o k e :   1 3 
 r u l e :   6 7 7 
 r e g u l a t i o n :   3 6 7 
 s u b m i t t i n g :   4 7 
 r e q u e s t :   8 3 2 
 s e c r e t a r y :   4 5 4 
 m u s t :   1 4 9 2 
 c o m p l y :   4 3 4 
 p r o c e d u r e :   6 1 3 
 p e t i t i o n i n g :   7 
 r u l e m a k i n g :   1 4 8 
 p a r t :   1 9 7 3 
 d e c i s i o n s :   6 9 
 r e c o r d s :   7 6 3 
 e a c h :   1 5 5 7 
 d e c i s i o n :   4 6 1 
 a c t i n g :   5 3 
 o f f i c i a l :   2 1 9 
 c a p a c i t y :   8 0 
 c o l l e g i a l :   2 
 b o d y :   4 2 0 
 r e c o r d e d :   8 8 
 m i n u t e s :   1 4 6 
 m e e t i n g s :   1 7 5 
 s e p a r a t e :   1 7 1 
 r e c o r d :   5 0 3 
 a c t i o n :   6 3 3 
 c o p i e s :   1 8 4 
 o b t a i n e d :   1 9 1 
 o s :   6 
 e x a m i n e d :   3 4 
 h e a d q u a r t e r s :   1 2 
 r e q u e s t s :   3 3 1 
 i d e n t i f y :   1 9 2 
 m a t t e r :   2 9 3 
 a p p r o x i m a t e :   6 0 
 i f :   3 1 9 3 
 k n o w n :   1 8 4 
 c u s t o d y :   1 2 
 r e q u e s t e d :   1 8 4 
 w r i t i n g :   2 2 8 
 f r o m :   2 9 7 1 
 o f f i c e :   5 1 2 
 p u r s u a n t :   5 8 9 
 p r o c e d u r e s :   5 5 4 
 d i s c l o s u r e :   6 2 1 
 p r o d u c t i o n :   5 3 2 
 f r e e d o m :   8 4 
 a d v i s o r y :   2 8 6 
 o p i n i o n s :   5 6 
 i n t e r p r e t a t i o n s :   5 8 
 g :   7 6 5 
 l i b r a r y :   1 7 
 f o i a :   1 8 
 h t m l :   6 4 
 u p o n :   8 5 8 
 c o u n s e l :   4 2 0 
 p r o v i d e s :   2 6 0 
 i n t e r p r e t i n g :   1 4 
 a d m i n i s t r a t i v e :   4 8 7 
 p r o v i d e d :   1 0 2 4 
 c o n t a i n s :   1 9 1 
 s u f f i c i e n t :   2 6 4 
 s p e c i f i c :   3 4 7 
 f a c t u a l :   3 8 
 b a s e :   2 1 6 
 o p i n i o n :   3 7 
 r e p r e s e n t :   5 4 
 l e g a l :   1 3 1 
 c h a n g e d :   3 3 
